Category,All,GR,RO,HU,SI,PT,LU,DE,IT,EE,BE,CZ,FI,IE,MT,PL,ES,AT,CY,EU,LV,NL,SK,SE,DK,BG,LT,FR,GB,England & Wales,Scotland,CA,AR,IS,CH,NZ,ZA,JP,AU,IL,BR,NO,IN,PH,US,TH,TW,SG,RU,CN,MY,VN,BH,SY,IR
Privacy International 2007/Source,https://www.privacyinternational.org/sites/privacyinternational.org/files/file-downloads/phrcomp_sort_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Privacy International 2007/Constitutional protection,,4,3,4,4,4,2,4,4,3,4,4,3,2,2,3,3,2,3,3,3,2,4,3,3,3,3,3,1,1,1,4,4,4,4,2,4,3,1,4,3,3,3,3,3,2,2,1,3,2,1,,,,
Privacy International 2007/Statutory protectio,,3,3,4,4,4,3,4,4,3,4,3,3,3,4,4,4,3,3,2,2,4,3,2,2,2,3,2,2,2,2,4,4,4,4,2,1,1,2,3,2,2,1,2,1,2,2,1,2,2,2,,,,
Privacy International 2007/Privacy Enforcemen,,4,4,4,4,3,3,4,4,4,4,4,3,4,3,3,4,2,3,3,2,4,3,3,2,3,2,3,2,2,2,2,2,4,2,3,1,1,2,3,1,3,1,1,1,2,1,1,1,1,1,,,,
Privacy International 2007/Identity Cards and Biometric,,3,-,4,2,2,3,2,2,2,1,2,2,2,-,1,1,2,2,2,2,1,1,3,4,1,1,2,1,1,3,2,-,2,2,3,2,2,3,2,2,2,-,1,1,1,1,1,2,2,1,,,,
Privacy International 2007/Data-sharing,,-,-,3,3,2,2,4,-,-,1,1,1,2,-,3,-,1,-,2,2,1,-,2,1,-,-,1,1,1,3,2,2,3,2,2,2,2,2,2,2,1,-,-,2,-,-,2,1,1,1,,,,
Privacy International 2007/Visual surveillanc,,3,-,1,4,2,-,2,3,-,-,2,-,-,-,2,2,2,2,-,-,2,-,3,3,-,1,2,1,1,2,2,-,2,1,-,-,2,-,2,2,2,-,-,1,2,-,1,-,1,1,,,,
Privacy International 2007/Communication interception,,1,2,1,2,2,2,2,1,2,2,1,3,3,2,1,1,2,1,-,2,1,2,2,2,1,1,2,1,-,-,3,2,3,2,1,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,,,,
Privacy International 2007/Communication Data Retention,,-,3,4,1,-,3,1,1,-,2,2,3,1,-,1,2,4,-,1,-,1,1,1,1,2,3,1,1,-,-,4,2,2,2,3,1,4,4,2,2,2,-,2,3,2,3,3,1,1,3,,,,
Privacy International 2007/Government Access to Data,,3,2,3,2,-,-,3,2,3,3,2,2,2,2,2,2,2,-,2,2,2,1,1,1,2,-,1,2,2,3,3,-,2,2,2,-,3,2,1,2,2,1,1,2,1,2,1,1,1,1,,,,
Privacy International 2007/Workplace monitorin,,-,-,2,4,3,4,2,4,-,4,3,2,3,-,-,3,-,-,-,3,3,-,1,-,-,1,-,2,-,-,3,-,3,-,2,-,-,3,-,3,3,-,-,1,-,-,1,-,-,-,,,,
"Privacy International 2007/Surveillance of Medical, Financial, and Movemen",,3,-,2,2,3,4,4,2,3,3,2,2,3,-,2,1,3,2,3,2,2,2,1,1,2,-,2,1,1,2,2,2,2,2,2,4,3,1,1,1,1,2,2,1,1,1,3,1,2,1,,,,
Privacy International 2007/Border and trans-border issue,,-,-,3,-,-,-,2,3,-,2,2,2,2,-,-,-,2,2,2,2,2,-,2,1,-,-,1,1,-,-,2,-,1,1,-,2,1,1,1,2,1,-,-,1,-,1,2,1,-,1,,,,
Privacy International 2007/Leadership,,4,2,1,2,2,1,1,3,2,1,3,2,1,2,3,1,1,2,2,2,1,2,1,2,2,2,1,1,1,3,3,4,2,3,2,-,1,2,2,3,2,2,2,1,2,1,1,1,1,2,,,,
Privacy International 2007/Democratic safeguards,,3,4,4,3,4,4,4,3,3,4,4,4,4,2,3,4,4,3,3,3,4,2,4,3,2,3,4,3,2,4,4,3,4,4,4,4,3,3,3,3,4,4,3,2,1,2,1,1,1,1,,,,
Privacy International 2007/Total,,3.1,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.5,2.5,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.1,2.1,2.1,2,2,2,1.9,1.4,1.4,2.5,2.9,2.8,2.7,2.4,2.3,2.3,2.2,2.2,2.2,2.1,2.1,1.9,1.8,1.5,1.5,1.5,1.4,1.3,1.3,1.3,,,,
Reporters Without Borders – State enemies of the Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0
Reporters Without Borders – State enemies of the Internet/Source,http://surveillance.rsf.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://surveillance.rsf.org/en/china/,,http://surveillance.rsf.org/en/vietnam/,http://surveillance.rsf.org/en/bahrain/,http://surveillance.rsf.org/en/syria/,http://surveillance.rsf.org/en/iran/
