Category,All, KP,AD,AE,AF,AG,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BF,BG,BH,BI,BJ,BN,BO,BR,BT,BW,BY,BZ,"Bonaire, Sint Eustatius and Saba",CA,CD,CF,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DJ,DK,DO,DZ,EC,EE,EG,EH,ER,ES,ET,EU,England & Wales,FI,FJ,FR,GA,GB,GE,GF,GH,GL,GM,GN,GQ,GR,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IN,IO,IQ,IR,IS,ISS World,IT,JM,JO,JP,KE,KG,KH,KM,KP,KR,KW,KZ,LA,LB,LI,LK,LR,LS,LT,LU,LV,LY,Libya,MA,MD,ME,MG,MH,MK,ML,MM,MN,MO,MR,MT,MU,MV,MW,MX,MY,MZ,Milipol,NA,NE,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SN,SO,SR,SS,SV,SY,SZ,Scotland,South Sudan,TAC,TD,TF,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,XK,YE,ZA,ZM,ZW
Privacy International 2007/Source,https://www.privacyinternational.org/sites/privacyinternational.org/files/file-downloads/phrcomp_sort_0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Privacy International 2007/Grundlagsskydd,,,,,,,,,,4,2,1,,,,4,,3,,,,,,3,,,,,,4,,,,4,,,,2,,,,,3,4,4,,3,,,,3,,,,3,,3,1,3,,3,,1,,,,,,,,4,,,,,,,,4,,2,4,3,,,,4,,4,,,3,,,,,,,,,,,,,,,3,2,3,,,,,,,,,,,,,,2,,,,,1,,,,,,,2,3,,2,,,,,3,,3,,4,,,3,,3,,,,,,3,1,4,4,,,,,,,,,1,,,,,,2,,,,,,,,,2,,,,3,,,,,,,,4,,
Privacy International 2007/Lagskydd,,,,,,,,,,4,3,2,,,,4,,2,,,,,,2,,,,,,4,,,,4,,,,2,,,,,3,3,4,,2,,,,3,,,,4,,2,2,3,,2,,2,,,,,,,,3,,,,,,,,4,,3,3,1,,,,4,,4,,,1,,,,,,,,,,,,,,,3,3,2,,,,,,,,,,,,,,4,,,,,2,,,,,,,4,2,,2,,,,,2,,4,,4,,,3,,2,,,,,,2,1,4,3,,,,,,,,,2,,,,,,2,,,,,,,,,2,,,,1,,,,,,,,1,,
Privacy International 2007/Tvingande privatlivsskydd,,,,,,,,,,2,2,2,,,,4,,3,,,,,,1,,,,,,2,,,,2,,,,1,,,,,3,4,4,,2,,,,4,,,,4,,3,2,3,,3,,2,,,,,,,,4,,,,,,,,4,,4,3,1,,,,4,,4,,,1,,,,,,,,,,,,,,,2,3,2,,,,,,,,,,,,,,3,,,,,1,,,,,,,4,3,,3,,,,,1,,3,,3,,,4,,1,,,,,,3,1,4,3,,,,,,,,,2,,,,,,2,,,,,,,,,1,,,,1,,,,,,,,1,,
Privacy International 2007/Identitetskort och biometri,,,,,,,,,,,2,3,,,,1,,1,,,,,,2,,,,,,2,,,,2,,,,2,,,,,2,2,2,,4,,,,2,,,,1,,2,1,2,,2,,1,,,,,,,,3,,,,,,,,4,,2,2,,,,,2,,2,,,2,,,,,,,,,,,,,,,1,3,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,3,,,,,1,,1,,2,,,,,2,,,,,,3,1,2,1,,,,,,,,,3,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,2,,
Privacy International 2007/Datadelning,,,,,,,,,,2,1,2,,,,1,,,,,,,,2,,,,,,2,,,,2,,,,1,,,,,,1,4,,1,,,,,,,,,,2,1,1,,1,,1,,,,,,,,,,,,,,,,3,,2,2,,,,,3,,,,,2,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,2,,,,,,,3,,2,,,,,1,,,,,,2,2,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,
Privacy International 2007/Visuell övervakning,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,2,,,,1,,,,1,,,,,2,2,2,,3,,,,,,,,2,,,1,,,2,,1,,,,,,,,3,,,,,,,,1,,,2,,,,,2,,3,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,2,,,,,,,,,2,,2,,,,,,,,,,,3,1,4,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,
Privacy International 2007/Avlyssning,,,,,,,,,,2,2,2,,,,2,,1,,,,,,2,,,,,,3,,,,2,,,,1,,,,,1,1,2,,2,,,,2,,,,1,,,,3,,2,,1,,,,,,,,1,,,,,,,,1,,3,2,1,,,,3,,1,,,3,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,2,,,,,1,,,,,,,1,2,,1,,,,,1,,1,,2,,,2,,1,,,,,,2,1,2,2,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,2,,
Privacy International 2007/Datalagring,,,,,,,,,,2,4,4,,,,2,,2,,,,,,2,,,,,,4,,,,2,,,,1,,,,,,2,1,,1,,,,,,,,2,,1,,3,,1,,1,,,,,,,,,,,,,,,,4,,1,2,,,,,2,,1,,,4,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,2,,3,,,,,2,,1,,,,,3,,1,,,,,,1,3,1,1,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,3,,,,,,,,1,,
Privacy International 2007/Mydigheters tillgång till data,,,,,,,,,,,2,2,,,,3,,2,,,,,,2,,,,,,3,,,,2,,,,1,,,,,,2,3,,1,,,,3,,,,2,,2,2,2,,1,,2,,,,,,,,3,,,,,,,,3,,2,1,1,,,,2,,2,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,1,,,,,,,2,2,,2,,,,,1,,2,,,,,2,,1,,,,,,1,1,2,1,,,,,,,,,3,,,,,,1,,,,,,,,,2,,,,2,,,,,,,,,,
